"";"Role";"BlueTeamChampion";"RedTeamChampion";"PatchVersion";"games_played";"blue_side_kills";"blue_side_deaths";"blue_side_assists";"blue_side_cs_at_15_min";"blue_side_cs_at_end";"blue_side_gold_at_15_min";"blue_side_gold_at_end";"red_side_kills";"red_side_deaths";"red_side_assists";"red_side_cs_at_15_min";"red_side_cs_at_end";"red_side_gold_at_15_min";"red_side_gold_at_end";"blue_side_kills_advantage";"blue_side_deaths_advantage";"blue_side_assists_advantage";"blue_side_cs_at_15_min_advantage";"blue_side_cs_at_end_advantage";"blue_side_gold_at_15_min_advantage";"blue_side_gold_at_end_advantage";"blue_side_kills_advantage_advantage";"blue_side_deaths_advantage_advantage";"blue_side_assists_advantage_advantage";"blue_side_cs_at_15_min_advantage_advantage";"blue_side_cs_at_end_advantage_advantage";"blue_side_gold_at_15_min_advantage_advantage";"blue_side_gold_at_end_advantage_advantage"
"1";"bottom";"Aphelios";"Ashe";"15.2.653.8382";1;1;6;4;90;234;4029;9717;2;4;7;118;214;5354;11132;-1;2;-3;-28;20;-1325;-1415;-1;2;-3;-28;20;-1325;-1415
"2";"bottom";"Aphelios";"Ashe";"15.8.675.448";1;3;1;1;130;304;5835;12895;5;1;6;142;277;5617;13924;-2;0;-5;-12;27;218;-1029;-2;0;-5;-12;27;218;-1029
"3";"bottom";"Aphelios";"Corki";"15.1.649.4112";1;1;2;0;137;256;5248;9466;0;1;3;130;217;4816;8749;1;1;-3;7;39;432;717;1;1;-3;7;39;432;717
"4";"bottom";"Aphelios";"Ezreal";"15.1.649.4112";1;3;2;5;120;284;5300;12497;3;0;6;125;294;4856;13284;0;2;-1;-5;-10;444;-787;0;2;-1;-5;-10;444;-787
"5";"bottom";"Aphelios";"Ezreal";"15.2.650.9216";1;2;4;0;125;235;5284;9426;7;0;1;128;243;6477;12719;-5;4;-1;-3;-8;-1193;-3293;-5;4;-1;-3;-8;-1193;-3293
"6";"bottom";"Aphelios";"Ezreal";"15.2.653.8382";1;1;5;6;110;232;4441;10911;7;3;10;133;245;5660;14972;-6;2;-4;-23;-13;-1219;-4061;-6;2;-4;-23;-13;-1219;-4061
"7";"bottom";"Aphelios";"Jinx";"15.1.645.7528";1;3;1;3;113;206;4533;9765;1;2;2;143;231;5915;9495;2;-1;1;-30;-25;-1382;270;2;-1;1;-30;-25;-1382;270
"8";"bottom";"Aphelios";"Lucian";"15.8.675.448";1;4;5;3;86;172;5510;9221;3;2;6;122;228;5183;10597;1;3;-3;-36;-56;327;-1376;1;3;-3;-36;-56;327;-1376
"9";"bottom";"Aphelios";"Varus";"15.3.655.330";1;3;3;1;140;275;4875;11582;7;0;7;144;284;5266;13786;-4;3;-6;-4;-9;-391;-2204;-4;3;-6;-4;-9;-391;-2204
"10";"bottom";"Aphelios";"Xayah";"15.1.649.4112";1;1;0;1;85;258;3291;9700;1;0;2;84;254;3226;10276;0;0;-1;1;4;65;-576;0;0;-1;1;4;65;-576
"11";"bottom";"Aphelios";"Xayah";"15.4.658.6996";1;6;2;3;107;169;5717;10015;8;5;1;108;214;5157;12793;-2;-3;2;-1;-45;560;-2778;-2;-3;2;-1;-45;560;-2778
"12";"bottom";"Aphelios";"Xayah";"15.8.675.448";1;1;1;10;126;273;4706;13251;0;3;1;135;282;4743;11188;1;-2;9;-9;-9;-37;2063;1;-2;9;-9;-9;-37;2063
"13";"bottom";"Ashe";"Aphelios";"15.7.671.9073";1;1;1;14;78;193;3333;10202;4;5;3;64;192;2932;10094;-3;-4;11;14;1;401;108;-3;-4;11;14;1;401;108
"14";"bottom";"Ashe";"Caitlyn";"15.1.649.4112";1;6;1;3;147;228;5899;10519;0;2;1;124;236;4889;8736;6;-1;2;23;-8;1010;1783;6;-1;2;23;-8;1010;1783
"15";"bottom";"Ashe";"Caitlyn";"15.5.662.5311";1;2;5;4;131;269;5292;11665;3;1;7;109;259;4242;11553;-1;4;-3;22;10;1050;112;-1;4;-3;22;10;1050;112
"16";"bottom";"Ashe";"Corki";"15.1.649.4112";2;2;3,5;11;97,5;245,5;4162,5;11948;5,5;2,5;6,5;100;265;4031,5;13372;-3,5;1;4,5;-2,5;-19,5;131;-1424;-3,5;1;4,5;-2,5;-19,5;131;-1424
"17";"bottom";"Ashe";"Corki";"15.2.652.6393";1;1;3;6;75;242;2989;10011;3;3;10;76;237;3367;11660;-2;0;-4;-1;5;-378;-1649;-2;0;-4;-1;5;-378;-1649
"18";"bottom";"Ashe";"Corki";"15.2.653.8382";1;1;1;0;137;241;5261;8979;3;0;4;147;254;5967;10686;-2;1;-4;-10;-13;-706;-1707;-2;1;-4;-10;-13;-706;-1707
"19";"bottom";"Ashe";"Corki";"15.3.655.330";1;2;3;5;104;272;4140;12422;4;1;4;133;345;5806;15311;-2;2;1;-29;-73;-1666;-2889;-2;2;1;-29;-73;-1666;-2889
"20";"bottom";"Ashe";"Corki";"15.3.659.3416";2;2;1;2;107,5;228,5;4785;10485,5;2,5;1;2,5;129;238,5;5833,5;10981;-0,5;0;-0,5;-21,5;-10;-1048,5;-495,5;-0,5;0;-0,5;-21,5;-10;-1048,5;-495,5
"21";"bottom";"Ashe";"Corki";"15.4.658.6996";2;2,5;2,5;2,5;112;260,5;4212,5;11651,5;3,5;2;5;121;286,5;4734;12954;-1;0,5;-2,5;-9;-26;-521,5;-1302,5;-1;0,5;-2,5;-9;-26;-521,5;-1302,5
"22";"bottom";"Ashe";"Corki";"15.6.665.8352";1;2;4;3;119;149;5032;6918;3;2;14;111;169;5263;8427;-1;2;-11;8;-20;-231;-1509;-1;2;-11;8;-20;-231;-1509
"23";"bottom";"Ashe";"Corki";"15.6.667.3303";3;3;4,33333333333333;6;121,333333333333;274,333333333333;5243,66666666667;12328;4,33333333333333;2;6;122,333333333333;281,333333333333;5464,33333333333;13374;-1,33333333333333;2,33333333333333;0;-1;-7;-220,666666666666;-1046;-1,33333333333333;2,33333333333333;0;-1;-7;-220,666666666666;-1046
"24";"bottom";"Ashe";"Corki";"15.7.670.1561";1;3;3;6;118;419;4397;17918;3;3;3;133;409;4892;17656;0;0;3;-15;10;-495;262;0;0;3;-15;10;-495;262
"25";"bottom";"Ashe";"Corki";"15.7.671.9073";1;4;0;8;30;235;1415;10934;0;3;1;24;184;1310;7667;4;-3;7;6;51;105;3267;4;-3;7;6;51;105;3267
"26";"bottom";"Ashe";"Ezreal";"15.1.649.4112";4;1,25;1,5;2,75;133,5;254,75;5114,5;10211,5;2,5;1;3,25;120,75;240,75;5267,75;10996,75;-1,25;0,5;-0,5;12,75;14;-153,25;-785,25;-1,25;0,5;-0,5;12,75;14;-153,25;-785,25
"27";"bottom";"Ashe";"Ezreal";"15.2.650.9216";1;2;0;11;138;350;5214;15099;0;3;0;121;297;4514;11421;2;-3;11;17;53;700;3678;2;-3;11;17;53;700;3678
"28";"bottom";"Ashe";"Ezreal";"15.2.653.8382";1;1;0;5;119;295;4447;11194;1;0;3;110;276;4585;10683;0;0;2;9;19;-138;511;0;0;2;9;19;-138;511
"29";"bottom";"Ashe";"Ezreal";"15.3.655.330";1;1;1;4;121;223;5173;8985;3;1;6;134;245;5572;10551;-2;0;-2;-13;-22;-399;-1566;-2;0;-2;-13;-22;-399;-1566
"30";"bottom";"Ashe";"Ezreal";"15.3.659.3416";1;1;0;8;133;233;5447;10182;2;2;2;125;212;4752;9358;-1;-2;6;8;21;695;824;-1;-2;6;8;21;695;824
"31";"bottom";"Ashe";"Ezreal";"15.4.658.6996";2;4;2,5;8;63;200;2854,5;10246;3;3;5;64,5;206,5;2910;10060;1;-0,5;3;-1,5;-6,5;-55,5;186;1;-0,5;3;-1,5;-6,5;-55,5;186
"32";"bottom";"Ashe";"Ezreal";"15.5.662.5311";1;8;2;8;95;330;4412;16923;5;5;3;108;345;4748;15231;3;-3;5;-13;-15;-336;1692;3;-3;5;-13;-15;-336;1692
"33";"bottom";"Ashe";"Ezreal";"15.6.665.8352";1;3;1;6;121;212;5259;9529;0;1;2;138;251;4969;8936;3;0;4;-17;-39;290;593;3;0;4;-17;-39;290;593
"34";"bottom";"Ashe";"Ezreal";"15.6.667.3303";1;2;1;5;145;367;5104;14696;1;1;5;123;318;5076;14825;1;0;0;22;49;28;-129;1;0;0;22;49;28;-129
"35";"bottom";"Ashe";"Ezreal";"15.7.669.5499";1;6;3;7;129;290;6285;13838;1;1;4;129;301;5233;11962;5;2;3;0;-11;1052;1876;5;2;3;0;-11;1052;1876
"36";"bottom";"Ashe";"Ezreal";"15.7.670.1561";1;4;3;13;101;222;4117;11026;1;6;7;97;215;4173;9413;3;-3;6;4;7;-56;1613;3;-3;6;4;7;-56;1613
"37";"bottom";"Ashe";"Ezreal";"15.8.675.448";4;1,75;0,75;4,75;125,5;271,75;5131,75;11585;1;1,25;2,75;124,25;260,5;4814;10516,25;0,75;-0,5;2;1,25;11,25;317,75;1068,75;0,75;-0,5;2;1,25;11,25;317,75;1068,75
"38";"bottom";"Ashe";"Jhin";"15.1.649.4112";1;2;3;1;138;265;4959;11095;6;2;4;141;262;6142;13443;-4;1;-3;-3;3;-1183;-2348;-4;1;-3;-3;3;-1183;-2348
"39";"bottom";"Ashe";"Jhin";"15.2.653.8382";1;1;3;11;122;256;4687;11015;2;1;10;109;238;4469;11686;-1;2;1;13;18;218;-671;-1;2;1;13;18;218;-671
"40";"bottom";"Ashe";"Jhin";"15.3.655.330";3;3;4,66666666666667;5;76,3333333333333;186,333333333333;3285;9293,33333333333;4,66666666666667;2,33333333333333;9,33333333333333;88;229;4237;11197;-1,66666666666667;2,33333333333333;-4,33333333333333;-11,6666666666667;-42,6666666666667;-952;-1903,66666666667;-1,66666666666667;2,33333333333333;-4,33333333333333;-11,6666666666667;-42,6666666666667;-952;-1903,66666666667
"41";"bottom";"Ashe";"Jhin";"15.4.658.6996";4;5,5;1,5;8;87,25;250,5;3815,25;12018,5;3;1,75;4,5;79,75;247,25;3502,5;11417,5;2,5;-0,25;3,5;7,5;3,25;312,75;601;2,5;-0,25;3,5;7,5;3,25;312,75;601
"42";"bottom";"Ashe";"Jhin";"15.5.662.5311";4;4,25;2;8,5;118,75;226;4936;11242,5;1;3,75;5;119,25;227,5;4826;9732,25;3,25;-1,75;3,5;-0,5;-1,5;110;1510,25;3,25;-1,75;3,5;-0,5;-1,5;110;1510,25
"43";"bottom";"Ashe";"Jhin";"15.6.667.3303";3;1,66666666666667;2,66666666666667;6;112,333333333333;226,666666666667;4385;9938,66666666667;6;1,33333333333333;4;120;241,333333333333;5653;12116,6666666667;-4,33333333333333;1,33333333333333;2;-7,66666666666667;-14,6666666666667;-1268;-2178;-4,33333333333333;1,33333333333333;2;-7,66666666666667;-14,6666666666667;-1268;-2178
"44";"bottom";"Ashe";"Jhin";"15.7.670.1561";1;2;1;2;108;264;4472;10828;1;0;0;114;267;4519;10288;1;1;2;-6;-3;-47;540;1;1;2;-6;-3;-47;540
"45";"bottom";"Ashe";"Jhin";"15.7.671.9073";3;4;2;4;106,333333333333;269;4448,33333333333;12100;2;1;4,66666666666667;118,666666666667;275,666666666667;4753,33333333333;11675,6666666667;2;1;-0,666666666666667;-12,3333333333333;-6,66666666666669;-305;424,333333333334;2;1;-0,666666666666667;-12,3333333333333;-6,66666666666669;-305;424,333333333334
"46";"bottom";"Ashe";"Jhin";"15.8.675.448";7;4,28571428571429;2,42857142857143;5,14285714285714;106,285714285714;238,714285714286;4559,28571428571;11301;2,71428571428571;1,42857142857143;4,71428571428571;107;242,571428571429;4410,85714285714;11297,8571428571;1,57142857142857;1;0,428571428571429;-0,714285714285708;-3,85714285714286;148,428571428572;3,14285714285688;1,57142857142857;1;0,428571428571429;-0,714285714285708;-3,85714285714286;148,428571428572;3,14285714285688
"47";"bottom";"Ashe";"Jinx";"15.2.652.6393";1;5;2;10;96;218;4967;12288;5;3;5;89;238;4246;12179;0;-1;5;7;-20;721;109;0;-1;5;7;-20;721;109
"48";"bottom";"Ashe";"Jinx";"15.2.653.8382";1;7;2;9;110;235;5321;12751;3;1;6;88;232;4720;10762;4;1;3;22;3;601;1989;4;1;3;22;3;601;1989
"49";"bottom";"Ashe";"Jinx";"15.3.655.330";1;0;2;2;135;224;4944;8432;5;0;4;105;207;5253;10611;-5;2;-2;30;17;-309;-2179;-5;2;-2;30;17;-309;-2179
"50";"bottom";"Ashe";"Jinx";"15.7.669.5499";1;1;1;3;130;281;5588;11552;3;2;1;137;290;4913;12582;-2;-1;2;-7;-9;675;-1030;-2;-1;2;-7;-9;675;-1030
"51";"bottom";"Ashe";"Jinx";"15.7.671.9073";1;1;5;9;81;329;3099;16907;3;2;4;81;446;3157;19863;-2;3;5;0;-117;-58;-2956;-2;3;5;0;-117;-58;-2956
"52";"bottom";"Ashe";"Jinx";"15.8.675.448";2;7;3,5;10,5;132;291,5;5970;14946;5;3;6;120;298,5;4772,5;14635;2;0,5;4,5;12;-7;1197,5;311;2;0,5;4,5;12;-7;1197,5;311
"53";"bottom";"Ashe";"Kaisa";"15.1.649.4112";1;3;1;10;127;264;5612;12091;1;2;2;127;275;4854;11562;2;-1;8;0;-11;758;529;2;-1;8;0;-11;758;529
"54";"bottom";"Ashe";"Kaisa";"15.2.653.8382";2;1;2,5;3,5;123;285,5;4588,5;11437,5;5,5;1;4,5;116,5;277,5;4845;13317;-4,5;1,5;-1;6,5;8;-256,5;-1879,5;-4,5;1,5;-1;6,5;8;-256,5;-1879,5
"55";"bottom";"Ashe";"Kaisa";"15.3.655.330";1;2;1;2;109;196;4878;8828;3;2;3;116;212;5278;10112;-1;-1;-1;-7;-16;-400;-1284;-1;-1;-1;-7;-16;-400;-1284
"56";"bottom";"Ashe";"Kaisa";"15.5.662.5311";1;2;1;6;103;159;4665;7367;0;1;3;111;164;4499;6529;2;0;3;-8;-5;166;838;2;0;3;-8;-5;166;838
"57";"bottom";"Ashe";"Kaisa";"15.6.667.3303";3;0,333333333333333;3;5,33333333333333;107;289;4038,66666666667;11767;3,33333333333333;1,33333333333333;7;95;274,666666666667;4037,66666666667;12996,6666666667;-3;1,66666666666667;-1,66666666666667;12;14,3333333333333;1;-1229,66666666667;-3;1,66666666666667;-1,66666666666667;12;14,3333333333333;1;-1229,66666666667
"58";"bottom";"Ashe";"Kaisa";"15.7.670.1561";1;2;3;3;112;242;4821;11056;7;0;4;104;247;4251;12699;-5;3;-1;8;-5;570;-1643;-5;3;-1;8;-5;570;-1643
"59";"bottom";"Ashe";"Kaisa";"15.8.675.448";5;2,6;1,6;5,6;123,6;261,4;4968,8;11416,6;4;1,4;4,4;125;277,4;5011;12615,6;-1,4;0,2;1,2;-1,40000000000001;-16;-42,1999999999998;-1199;-1,4;0,2;1,2;-1,40000000000001;-16;-42,1999999999998;-1199
"60";"bottom";"Ashe";"Kalista";"15.1.649.4112";1;1;3;4;125;204;4794;8689;3;0;4;129;230;5680;11104;-2;3;0;-4;-26;-886;-2415;-2;3;0;-4;-26;-886;-2415
"61";"bottom";"Ashe";"Kalista";"15.2.650.9216";1;7;3;8;114;289;5499;15496;4;4;7;128;311;5333;14993;3;-1;1;-14;-22;166;503;3;-1;1;-14;-22;166;503
"62";"bottom";"Ashe";"Kalista";"15.2.652.6393";1;6;2;9;115;268;5338;13456;9;0;5;95;280;3838;16473;-3;2;4;20;-12;1500;-3017;-3;2;4;20;-12;1500;-3017
"63";"bottom";"Ashe";"Kalista";"15.2.653.8382";1;9;1;10;108;191;5497;10851;4;7;3;96;150;5580;9257;5;-6;7;12;41;-83;1594;5;-6;7;12;41;-83;1594
"64";"bottom";"Ashe";"Kalista";"15.3.655.330";2;4,5;3,5;5,5;100,5;166,5;4157;9138,5;5;4,5;4,5;107,5;166,5;5672,5;10405,5;-0,5;-1;1;-7;0;-1515,5;-1267;-0,5;-1;1;-7;0;-1515,5;-1267
"65";"bottom";"Ashe";"Kalista";"15.5.662.5311";1;8;4;12;126;260;5551;13627;5;7;2;123;256;6532;12833;3;-3;10;3;4;-981;794;3;-3;10;3;4;-981;794
"66";"bottom";"Ashe";"Kalista";"15.7.670.1561";1;3;0;9;114;395;4137;16937;1;4;3;106;355;4148;14727;2;-4;6;8;40;-11;2210;2;-4;6;8;40;-11;2210
"67";"bottom";"Ashe";"Kalista";"15.7.671.9073";1;4;3;8;124;263;4508;12337;5;2;6;117;256;5967;11782;-1;1;2;7;7;-1459;555;-1;1;2;7;7;-1459;555
"68";"bottom";"Ashe";"Kalista";"15.8.675.448";4;2,25;2,25;1,5;118,75;236,75;4912,75;10078,25;4,25;1,25;2,75;125;246;5203,5;11473,75;-2;1;-1,25;-6,25;-9,25;-290,75;-1395,5;-2;1;-1,25;-6,25;-9,25;-290,75;-1395,5
"69";"bottom";"Ashe";"MissFortune";"15.1.649.4112";5;2,8;2,4;5,4;104,8;251,2;4034,8;11691,6;3,4;2,8;4,2;106,8;280,6;4545,4;12557,4;-0,6;-0,4;1,2;-2;-29,4;-510,599999999999;-865,799999999999;-0,6;-0,4;1,2;-2;-29,4;-510,599999999999;-865,799999999999
"70";"bottom";"Ashe";"MissFortune";"15.2.652.6393";1;4;2;8;153;454;6609;19317;5;3;10;116;479;5703;21305;-1;-1;-2;37;-25;906;-1988;-1;-1;-2;37;-25;906;-1988
"71";"bottom";"Ashe";"MissFortune";"15.2.653.8382";1;4;1;6;104;157;5618;8593;2;1;1;121;179;5599;7560;2;0;5;-17;-22;19;1033;2;0;5;-17;-22;19;1033
"72";"bottom";"Ashe";"MissFortune";"15.3.655.330";1;4;4;2;83;152;3787;8135;5;3;6;104;167;4268;9678;-1;1;-4;-21;-15;-481;-1543;-1;1;-4;-21;-15;-481;-1543
"73";"bottom";"Ashe";"MissFortune";"15.3.659.3416";2;6;2,5;4,5;119;204;5757;10820,5;5;2;4;125;219,5;5843;10662,5;1;0,5;0,5;-6;-15,5;-86;158;1;0,5;0,5;-6;-15,5;-86;158
"74";"bottom";"Ashe";"MissFortune";"15.4.658.6996";1;0;3;5;99;157;4217;7190;7;0;8;118;210;5279;10850;-7;3;-3;-19;-53;-1062;-3660;-7;3;-3;-19;-53;-1062;-3660
"75";"bottom";"Ashe";"MissFortune";"15.5.662.5311";1;1;2;1;132;173;4708;6619;3;0;2;120;176;5085;8140;-2;2;-1;12;-3;-377;-1521;-2;2;-1;12;-3;-377;-1521
"76";"bottom";"Ashe";"MissFortune";"15.6.667.3303";2;4,5;1,5;8;120,5;188;5850;9394;2;2,5;2,5;103;170,5;4884;7591,5;2,5;-1;5,5;17,5;17,5;966;1802,5;2,5;-1;5,5;17,5;17,5;966;1802,5
"77";"bottom";"Ashe";"MissFortune";"15.7.670.1561";2;6;1;3,5;111,5;342;4963,5;15335,5;2,5;0,5;4,5;134,5;360,5;5759;15386,5;3,5;0,5;-1;-23;-18,5;-795,5;-51;3,5;0,5;-1;-23;-18,5;-795,5;-51
"78";"bottom";"Ashe";"MissFortune";"15.7.671.9073";2;2,5;1,5;3;123;212,5;5305,5;9181,5;1,5;2,5;2,5;114,5;220,5;4745,5;9478,5;1;-1;0,5;8,5;-8;560;-297;1;-1;0,5;8,5;-8;560;-297
"79";"bottom";"Ashe";"MissFortune";"15.8.675.448";4;2,5;2;5,75;123;252,5;5093,75;11625,25;1,5;2,5;2,75;121,25;253,25;4926,75;11081,75;1;-0,5;3;1,75;-0,75;167;543,5;1;-0,5;3;1,75;-0,75;167;543,5
"80";"bottom";"Ashe";"Sivir";"15.4.658.6996";2;4;0,5;2;118,5;197;5072;8973,5;0,5;2;2,5;106;175;4386;7639;3,5;-1,5;-0,5;12,5;22;686;1334,5;3,5;-1,5;-0,5;12,5;22;686;1334,5
"81";"bottom";"Ashe";"Sivir";"15.5.662.5311";2;2;2;4;99,5;243;4318,5;10133;2,5;2,5;4,5;88;256;4376;11335;-0,5;-0,5;-0,5;11,5;-13;-57,5;-1202;-0,5;-0,5;-0,5;11,5;-13;-57,5;-1202
"82";"bottom";"Ashe";"Sivir";"15.8.675.448";1;3;2;0;77;220;3188;10456;4;1;3;87;240;3517;10950;-1;1;-3;-10;-20;-329;-494;-1;1;-3;-10;-20;-329;-494
"83";"bottom";"Ashe";"Smolder";"15.3.655.330";1;6;0;9;108;187;4525;9739;0;2;0;113;199;4256;7512;6;-2;9;-5;-12;269;2227;6;-2;9;-5;-12;269;2227
"84";"bottom";"Ashe";"Swain";"15.7.671.9073";1;3;1;5;122;287;4473;11814;1;2;6;107;215;4319;9478;2;-1;-1;15;72;154;2336;2;-1;-1;15;72;154;2336
"85";"bottom";"Ashe";"Tristana";"15.4.658.6996";2;4,5;1;3,5;124,5;175;5694,5;8792,5;1,5;0,5;1;92,5;148;4240;6739;3;0,5;2,5;32;27;1454,5;2053,5;3;0,5;2,5;32;27;1454,5;2053,5
"86";"bottom";"Ashe";"Tristana";"15.6.667.3303";1;8;3;14;110;234;5272;13494;4;5;4;91;197;5449;11844;4;-2;10;19;37;-177;1650;4;-2;10;19;37;-177;1650
"87";"bottom";"Ashe";"Varus";"15.1.649.4112";5;3,2;1,6;5,2;115;318,6;4602,2;13790,4;5;1,8;5,4;105,4;271,6;4571,6;13969,2;-1,8;-0,2;-0,2;9,59999999999999;47;30,5999999999995;-178,800000000001;-1,8;-0,2;-0,2;9,59999999999999;47;30,5999999999995;-178,800000000001
"88";"bottom";"Ashe";"Varus";"15.2.652.1536";1;1;4;2;111;208;5032;9600;9;1;6;110;213;5454;12451;-8;3;-4;1;-5;-422;-2851;-8;3;-4;1;-5;-422;-2851
"89";"bottom";"Ashe";"Varus";"15.2.652.6393";3;5;2;6,66666666666667;109;222;5108;11184,6666666667;6;3,33333333333333;2,33333333333333;121;221;5944;10831,6666666667;-1;-1,33333333333333;4,33333333333333;-12;1;-836;353;-1;-1,33333333333333;4,33333333333333;-12;1;-836;353
"90";"bottom";"Ashe";"Varus";"15.2.653.8382";2;2,5;3;7;122;271,5;4933;12883;5,5;1;7,5;128,5;288,5;5195,5;15223;-3;2;-0,5;-6,5;-17;-262,5;-2340;-3;2;-0,5;-6,5;-17;-262,5;-2340
"91";"bottom";"Ashe";"Varus";"15.3.655.330";1;1;3;4;97;216;4121;10299;9;1;7;87;209;3891;12073;-8;2;-3;10;7;230;-1774;-8;2;-3;10;7;230;-1774
"92";"bottom";"Ashe";"Varus";"15.3.659.3416";1;1;5;4;104;246;4415;10078;3;3;8;128;247;5072;11407;-2;2;-4;-24;-1;-657;-1329;-2;2;-4;-24;-1;-657;-1329
"93";"bottom";"Ashe";"Varus";"15.4.657.5386";1;0;1;1;125;177;5085;6874;1;0;1;145;193;5239;7557;-1;1;0;-20;-16;-154;-683;-1;1;0;-20;-16;-154;-683
"94";"bottom";"Ashe";"Varus";"15.4.658.6996";2;4;1,5;3,5;129;274;5085,5;12078,5;3;0,5;4,5;115;269;5037;11496,5;1;1;-1;14;5;48,5;582;1;1;-1;14;5;48,5;582
"95";"bottom";"Ashe";"Varus";"15.5.662.5311";1;4;2;15;115;210;4702;9861;2;5;6;108;185;4320;8433;2;-3;9;7;25;382;1428;2;-3;9;7;25;382;1428
"96";"bottom";"Ashe";"Varus";"15.6.665.8352";1;0;3;4;133;255;5003;9837;6;1;7;131;270;4721;12611;-6;2;-3;2;-15;282;-2774;-6;2;-3;2;-15;282;-2774
"97";"bottom";"Ashe";"Varus";"15.6.667.3303";2;1,5;1,5;1;104;260;4473,5;10834,5;3;1;2;110,5;253,5;4686;11365,5;-1,5;0,5;-1;-6,5;6,5;-212,5;-531;-1,5;0,5;-1;-6,5;6,5;-212,5;-531
"98";"bottom";"Ashe";"Varus";"15.7.670.1561";1;2;1;4;114;421;4323;18058;8;3;6;130;405;4824;20137;-6;-2;-2;-16;16;-501;-2079;-6;-2;-2;-16;16;-501;-2079
"99";"bottom";"Ashe";"Varus";"15.7.671.9073";1;2;3;2;99;234;4754;9963;5;2;8;108;240;4672;12262;-3;1;-6;-9;-6;82;-2299;-3;1;-6;-9;-6;82;-2299
"100";"bottom";"Ashe";"Varus";"15.8.675.448";2;1,5;1,5;4;84;264,5;3535;10989,5;4;0,5;6,5;100;291,5;3777;12752,5;-2,5;1;-2,5;-16;-27;-242;-1763;-2,5;1;-2,5;-16;-27;-242;-1763
"101";"bottom";"Ashe";"Xayah";"15.3.655.330";1;1;5;2;111;217;4262;9639;3;3;3;120;236;4607;11378;-2;2;-1;-9;-19;-345;-1739;-2;2;-1;-9;-19;-345;-1739
"102";"bottom";"Ashe";"Xayah";"15.4.657.5386";1;1;3;0;153;242;6181;9854;2;0;7;137;233;5068;10482;-1;3;-7;16;9;1113;-628;-1;3;-7;16;9;1113;-628
"103";"bottom";"Ashe";"Xayah";"15.5.662.5311";1;1;2;1;99;196;4038;8165;0;0;2;106;222;4154;8685;1;2;-1;-7;-26;-116;-520;1;2;-1;-7;-26;-116;-520
"104";"bottom";"Ashe";"Xayah";"15.8.675.448";1;3;0;5;124;429;4598;18238;2;1;1;137;428;5266;17511;1;-1;4;-13;1;-668;727;1;-1;4;-13;1;-668;727
"105";"bottom";"Ashe";"Zeri";"15.3.655.330";2;3;1,5;9,5;128,5;270,5;5235,5;13170;2;4;3;134,5;295;5781,5;13056;1;-2,5;6,5;-6;-24,5;-546;114;1;-2,5;6,5;-6;-24,5;-546;114
"106";"bottom";"Ashe";"Ziggs";"15.1.649.4112";2;3;0;6,5;128,5;233,5;5374,5;10430;1;1,5;3;123;218;5035,5;8705;2;-1,5;3,5;5,5;15,5;339;1725;2;-1,5;3,5;5,5;15,5;339;1725
"107";"bottom";"Ashe";"Ziggs";"15.2.653.8382";1;1;3;9;127;286;5105;11852;0;2;8;114;266;4658;10907;1;1;1;13;20;447;945;1;1;1;13;20;447;945
"108";"bottom";"Ashe";"Ziggs";"15.4.657.5386";1;0;1;11;134;333;5021;14553;1;2;1;147;354;5088;14212;-1;-1;10;-13;-21;-67;341;-1;-1;10;-13;-21;-67;341
"109";"bottom";"Brand";"Jhin";"15.8.675.448";1;7;2;5;86;138;4727;8000;1;2;1;79;113;3762;5155;6;0;4;7;25;965;2845;6;0;4;7;25;965;2845
"110";"bottom";"Caitlyn";"Aphelios";"15.2.653.8382";1;1;2;1;102;208;4129;7998;7;0;3;96;187;4107;9769;-6;2;-2;6;21;22;-1771;-6;2;-2;6;21;22;-1771
"111";"bottom";"Caitlyn";"Ashe";"15.3.655.330";2;5,5;3;6;107;271,5;5589,5;14509,5;3,5;3,5;7,5;107,5;273,5;4938,5;13068,5;2;-0,5;-1,5;-0,5;-2;651;1441;2;-0,5;-1,5;-0,5;-2;651;1441
"112";"bottom";"Caitlyn";"Ashe";"15.4.658.6996";1;4;1;10;145;256;6286;12319;1;6;4;113;166;4575;8001;3;-5;6;32;90;1711;4318;3;-5;6;32;90;1711;4318
"113";"bottom";"Caitlyn";"Ashe";"15.5.662.5311";1;8;1;10;116;223;7736;12983;2;5;2;89;191;5361;9254;6;-4;8;27;32;2375;3729;6;-4;8;27;32;2375;3729
"114";"bottom";"Caitlyn";"Ashe";"15.6.667.3303";1;0;0;0;130;242;4770;9199;0;0;5;127;223;4731;9478;0;0;-5;3;19;39;-279;0;0;-5;3;19;39;-279
"115";"bottom";"Caitlyn";"Ashe";"15.7.671.9073";1;2;0;6;127;230;5138;9539;0;1;2;117;223;4541;8829;2;-1;4;10;7;597;710;2;-1;4;10;7;597;710
"116";"bottom";"Caitlyn";"Corki";"15.1.649.4112";1;3;1;4;153;277;7558;12331;1;2;0;115;232;4649;8933;2;-1;4;38;45;2909;3398;2;-1;4;38;45;2909;3398
"117";"bottom";"Caitlyn";"Corki";"15.2.652.6393";2;2,5;2;3;91;241;4009;10270,5;3;0,5;3,5;102,5;246,5;4020,5;10360;-0,5;1,5;-0,5;-11,5;-5,5;-11,5;-89,5;-0,5;1,5;-0,5;-11,5;-5,5;-11,5;-89,5
